URL: /add/hero, Method: POST, Timestamp:Mon May 22 2023 16:47:59 GMT+0530 (India Standard Time)
URL: /heroes, Method: GET, Timestamp:Mon May 22 2023 16:47:59 GMT+0530 (India Standard Time)
URL: /update/villain/1?role=admin&pass=saveEarh, Method: PATCH, Timestamp:Mon May 22 2023 16:47:59 GMT+0530 (India Standard Time)
URL: /delete/hero/1?role=admin&pass=saveEarh, Method: DELETE, Timestamp:Mon May 22 2023 16:47:59 GMT+0530 (India Standard Time)
URL: /update/villain/3, Method: PATCH, Timestamp:Mon May 22 2023 16:54:50 GMT+0530 (India Standard Time)
URL: /update/villain/3, Method: PATCH, Timestamp:Mon May 22 2023 16:55:55 GMT+0530 (India Standard Time)
URL: /update/villain/3, Method: PATCH, Timestamp:Mon May 22 2023 16:55:57 GMT+0530 (India Standard Time)
URL: /update/villain/3, Method: PATCH, Timestamp:Mon May 22 2023 16:56:57 GMT+0530 (India Standard Time)
URL: /update/villain/3, Method: PATCH, Timestamp:Mon May 22 2023 16:58:06 GMT+0530 (India Standard Time)
URL: /update/villain/3, Method: PATCH, Timestamp:Mon May 22 2023 16:59:07 GMT+0530 (India Standard Time)
URL: /update/villain/:3, Method: PATCH, Timestamp:Mon May 22 2023 16:59:16 GMT+0530 (India Standard Time)
URL: /update/villain/limfdg, Method: PATCH, Timestamp:Mon May 22 2023 16:59:22 GMT+0530 (India Standard Time)
URL: /update/villain/limfdg, Method: PATCH, Timestamp:Mon May 22 2023 16:59:23 GMT+0530 (India Standard Time)
URL: /update/villain/?gfdg, Method: PATCH, Timestamp:Mon May 22 2023 16:59:37 GMT+0530 (India Standard Time)
URL: /update/villain/33, Method: PATCH, Timestamp:Mon May 22 2023 16:59:48 GMT+0530 (India Standard Time)
